net_name,layer_name,fused_layer_type,in_mem,weight_mem,out_mem,operations,tp,batch_size,sequence_length
efficientnet_b0,layer81_features_8_0,single,1e-09,1e-09,0.00100352,321126400,2,32,1
efficientnet_b0,layer82_classifier_1,start,1e-09,1e-09,0.0,1280000,1,1,1
efficientnet_b0,layer82_classifier_1,middle,0.0,1e-09,0.0,1280000,1,1,1
efficientnet_b0,layer82_classifier_1,end,0.0,1e-09,1e-06,1280000,1,1,1
efficientnet_b0,layer82_classifier_1,single,1e-09,1e-09,1e-06,1280000,1,1,1
efficientnet_b0,layer82_classifier_1,start,1e-09,1e-09,0.0,40960000,1,32,1
efficientnet_b0,layer82_classifier_1,middle,0.0,1e-09,0.0,40960000,1,32,1
efficientnet_b0,layer82_classifier_1,end,0.0,1e-09,3.2e-05,40960000,1,32,1
efficientnet_b0,layer82_classifier_1,single,1e-09,1e-09,3.2e-05,40960000,1,32,1
efficientnet_b0,layer82_classifier_1,start,1e-09,1e-09,0.0,640000,2,1,1
efficientnet_b0,layer82_classifier_1,middle,0.0,1e-09,0.0,640000,2,1,1
efficientnet_b0,layer82_classifier_1,end,0.0,1e-09,5e-07,640000,2,1,1
efficientnet_b0,layer82_classifier_1,single,1e-09,1e-09,5e-07,640000,2,1,1
efficientnet_b0,layer82_classifier_1,start,1e-09,1e-09,0.0,20480000,2,32,1
efficientnet_b0,layer82_classifier_1,middle,0.0,1e-09,0.0,20480000,2,32,1
efficientnet_b0,layer82_classifier_1,end,0.0,1e-09,1.6e-05,20480000,2,32,1
efficientnet_b0,layer82_classifier_1,single,1e-09,1e-09,1.6e-05,20480000,2,32,1
efficientnet_b0,layer8_features_2_0_block_2_fc1,start,1e-09,1e-09,0.0,384,1,1,1
efficientnet_b0,layer8_features_2_0_block_2_fc1,middle,0.0,1e-09,0.0,384,1,1,1
efficientnet_b0,layer8_features_2_0_block_2_fc1,end,0.0,1e-09,4e-09,384,1,1,1
efficientnet_b0,layer8_features_2_0_block_2_fc1,single,1e-09,1e-09,4e-09,384,1,1,1
efficientnet_b0,layer8_features_2_0_block_2_fc1,start,1e-09,1e-09,0.0,12288,1,32,1
efficientnet_b0,layer8_features_2_0_block_2_fc1,middle,0.0,1e-09,0.0,12288,1,32,1
efficientnet_b0,layer8_features_2_0_block_2_fc1,end,0.0,1e-09,1.28e-07,12288,1,32,1
efficientnet_b0,layer8_features_2_0_block_2_fc1,single,1e-09,1e-09,1.28e-07,12288,1,32,1
efficientnet_b0,layer8_features_2_0_block_2_fc1,start,1e-09,1e-09,0.0,192,2,1,1
efficientnet_b0,layer8_features_2_0_block_2_fc1,middle,0.0,1e-09,0.0,192,2,1,1
efficientnet_b0,layer8_features_2_0_block_2_fc1,end,0.0,1e-09,2e-09,192,2,1,1
efficientnet_b0,layer8_features_2_0_block_2_fc1,single,1e-09,1e-09,2e-09,192,2,1,1
efficientnet_b0,layer8_features_2_0_block_2_fc1,start,1e-09,1e-09,0.0,6144,2,32,1
efficientnet_b0,layer8_features_2_0_block_2_fc1,middle,0.0,1e-09,0.0,6144,2,32,1
efficientnet_b0,layer8_features_2_0_block_2_fc1,end,0.0,1e-09,6.4e-08,6144,2,32,1
efficientnet_b0,layer8_features_2_0_block_2_fc1,single,1e-09,1e-09,6.4e-08,6144,2,32,1
efficientnet_b0,layer9_features_2_0_block_2_fc2,start,1e-09,1e-09,0.0,384,1,1,1
efficientnet_b0,layer9_features_2_0_block_2_fc2,middle,0.0,1e-09,0.0,384,1,1,1
efficientnet_b0,layer9_features_2_0_block_2_fc2,end,0.0,1e-09,9.6e-08,384,1,1,1
efficientnet_b0,layer9_features_2_0_block_2_fc2,single,1e-09,1e-09,9.6e-08,384,1,1,1
